"filename", "language", "Python", "pip requirements", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\zilkf\Documents\Workspace\photonic-backend\loop_sim.py", "Python", 75, 0, 0, 0, 0, 14, 22, 111
"c:\Users\zilkf\Documents\Workspace\photonic-backend\qutip_simulation\circuits.py", "Python", 562, 0, 0, 0, 0, 4, 113, 679
"c:\Users\zilkf\Documents\Workspace\photonic-backend\qutip_simulation\execute.py", "Python", 157, 0, 0, 0, 0, 28, 45, 230
"c:\Users\zilkf\Documents\Workspace\photonic-backend\qutip_simulation\test.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\zilkf\Documents\Workspace\photonic-backend\requirements.txt", "pip requirements", 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\zilkf\Documents\Workspace\photonic-backend\test_Calibration.py", "Python", 4, 0, 0, 0, 0, 74, 35, 113
"c:\Users\zilkf\Documents\Workspace\photonic-backend\test_Experiment.py", "Python", 12, 0, 0, 0, 0, 4, 9, 25
"c:\Users\zilkf\Documents\Workspace\photonic-backend\test_PlatesArray.py", "Python", 7, 0, 0, 0, 0, 16, 7, 30
"c:\Users\zilkf\Documents\Workspace\photonic-backend\test_RemoteExec.py", "Python", 10, 0, 0, 0, 0, 0, 6, 16
"c:\Users\zilkf\Documents\Workspace\photonic-backend\test_RunExperiment.py", "Python", 12, 0, 0, 0, 0, 0, 7, 19
"c:\Users\zilkf\Documents\Workspace\photonic-backend\test_Timetagger.py", "Python", 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\zilkf\Documents\Workspace\photonic-backend\test_Timetagger_Old.py", "Python", 32, 0, 0, 0, 0, 6, 14, 52
"c:\Users\zilkf\Documents\Workspace\photonic-backend\test_parmikoSSH.py", "Python", 15, 0, 0, 0, 0, 22, 18, 55
"c:\Users\zilkf\Documents\Workspace\photonic-backend\utilFunc.py", "Python", 75, 0, 0, 0, 0, 8, 26, 109
"Total", "-", 3838, 8, 1, 814, 1143, 3945, 1268, 11017
